farmID,annualMY,herdSize,annualMYFPCM,AAFC,CI,culling,avLactOnLeaving,costAAFC,costCI,costCull,totalCost,totalLifeDays,FPcorrfactor,milkLifeDays,OEEEffic,lifetimeYieldKgDay,productiveLifetimeYieldKgDay,Cull_L1,Cull_L2,Cull_L3,Cull_L4,Cull_L5,Cull_L6,Cull_L6over,CH4MJdLife,propCH4Milk,propCH4ForLactatingPeriods,eCO2 TyearGWP100,Repeat01,Repeat02,Repeat03,Repeat04,Repeat05,CH4_kgFPCM,CH4ForHeifer,CH4Maint,CH4Milk,CH4Preg+Dry,eCO2GWP100Heifer,eCO2GWP100Maint,eCO2GWP100Milk,eCO2GWP100Preg,eCO2GWP100Total,eCO2GWP*HeiferRearing,eCO2GWP*Maint,eCO2GWP*Milk,eCO2GWP*PregDry,eCO2GWP*Total,BFAnnualAvg,milkProteinAnnualAvg,milkButterFatKgYear,milkProteinKgYear
66,6551,56,6512,940,428,50.6,2.48,1.85,1.03,3.66,6.54,1966.2,0.99,883.9,0.45,8.9,19.8,0.42,0.59,0.29,0.4,0.22,0.4,#N/A,17.21,0.422,0.714,1.9963,0.6114,0.1939,0.155,0.2238,0.0388,1.3607,5.4578,4.3624,6.2996,1.0912,0.1939,0.155,0.2238,0.0388,0.6114,0.667,0.5331,0.7698,0.1334,2.1033,4.051,3.1361,265.37,205.44
67,9757,282,10171,790,389,42.8,2.58,1.29,0.5,1.66,3.45,1762.4,1.04,825.6,0.47,15.8,33.8,0.47,0.25,0.21,0.33,0.42,0.31,0.46,23.01,0.546,0.780,2.4384,0.4395,0.1104,0.0909,0.2118,0.0265,0.9782,5.7761,4.7558,11.0857,1.3885,0.1104,0.0909,0.2118,0.0265,0.4395,0.3796,0.3126,0.7286,0.0913,1.512,4.2589,3.4307,415.54,334.73
68,12304,193,12235,789,423,42.9,2.32,0.65,1.34,1.2,3.2,1673.6,0.99,738,0.44,19.1,43.2,0.5,0.25,0.21,0.16,0.32,0.67,0.33,26.72,0.608,0.801,2.7221,0.3887,0.092,0.0659,0.2086,0.0221,0.865,6.3278,4.5338,14.3429,1.519,0.092,0.0659,0.2086,0.0221,0.3887,0.3166,0.2268,0.7176,0.076,1.3371,3.9833,3.2469,490.12,399.51
69,12085,369,12691,769,384,33,3.25,0.97,0.41,0.59,1.97,1994.9,1.05,1066.6,0.53,22.6,42.3,0.19,0.24,0.23,0.41,0.44,0.46,1,28.97,0.626,0.839,2.8776,0.3652,0.0672,0.071,0.209,0.018,0.8128,5.3281,5.6327,16.5799,1.4251,0.0672,0.071,0.209,0.018,0.3652,0.2311,0.2443,0.7191,0.0618,1.2563,4.3665,3.3594,527.69,405.98
70,10105,173,11176,764,455,27.4,2.74,0.4,1.43,0.19,2.02,1899,1.11,1005.5,0.53,22,41.5,0.1,0.27,0.29,0.3,0.24,0.29,#N/A,27.37,0.612,0.833,2.7635,0.3803,0.0762,0.0763,0.2113,0.0166,0.8463,5.4818,5.4901,15.2057,1.1937,0.0762,0.0763,0.2113,0.0166,0.3803,0.262,0.2624,0.7267,0.0571,1.3082,4.7204,3.5192,477.01,355.62
71,11143,240,11079,893,385,29,4.21,2.06,0.48,0.31,2.85,2474.7,0.99,1326.4,0.54,19.6,36.7,0.14,0.14,0.19,0.31,0.36,0.34,0.7,27.13,0.608,0.832,2.7399,0.3793,0.0667,0.0775,0.2099,0.0252,0.8442,4.7729,5.5418,15.017,1.8014,0.0667,0.0775,0.2099,0.0252,0.3793,0.2295,0.2665,0.7222,0.0866,1.3049,3.9509,3.2957,440.27,367.25
72,10412,246,11083,823,383,28.8,3.09,1.82,0.42,0.32,2.57,1990.4,1.06,995.4,0.5,19.3,38.5,0.14,0.3,0.24,0.42,0.71,0.35,#N/A,25.7,0.586,0.809,2.6298,0.3973,0.0847,0.0798,0.2098,0.0231,0.8843,5.4751,5.1634,13.5648,1.4925,0.0847,0.0798,0.2098,0.0231,0.3973,0.2912,0.2747,0.7216,0.0794,1.3669,4.4632,3.3914,464.71,353.12
73,10504,275,10307,777,374,40.6,3.12,1.34,0.19,1.3,2.83,1922.2,0.98,992,0.52,16.9,32.7,0.24,0.25,0.46,0.46,0.58,0.86,0.5,24.99,0.571,0.806,2.5732,0.4088,0.088,0.0872,0.2113,0.0223,0.9098,5.3813,5.3303,12.9133,1.3627,0.088,0.0872,0.2113,0.0223,0.4088,0.3028,0.3,0.7267,0.0767,1.4062,3.829,3.3218,402.18,348.91
74,9933,245,9767,727,398,36.9,3.07,-0.05,0.73,1.03,1.71,1873.1,0.98,968.7,0.52,16.8,32.6,0.27,0.27,0.25,0.33,0.38,0.34,0.6,25.04,0.567,0.802,2.581,0.4122,0.0861,0.0877,0.2117,0.0267,0.9174,5.2321,5.3303,12.8621,1.6204,0.0861,0.0877,0.2117,0.0267,0.4122,0.2963,0.3018,0.7283,0.0918,1.4181,3.873,3.2786,384.7,325.65
75,10246,453,10218,746,401,30.4,3.25,0.58,0.73,0.46,1.76,2013.6,1,1086.9,0.54,18.3,33.9,0.1,0.2,0.3,0.44,0.72,0.75,0.67,26.06,0.586,0.821,2.6606,0.3969,0.0764,0.0851,0.2119,0.0236,0.8834,5.0159,5.5843,13.912,1.55,0.0764,0.0851,0.2119,0.0236,0.3969,0.2628,0.2926,0.7289,0.0812,1.3655,4.0885,3.1177,418.91,319.44
76,9392,64,9588,751,415,31.5,4.47,0.1,0.75,0.55,1.4,2386.6,1.02,1418.4,0.59,20.7,34.9,0.05,0.24,0,0.3,0.67,0.75,0.4,27.72,0.607,0.847,2.7801,0.3748,0.0585,0.0838,0.2108,0.0216,0.8341,4.331,6.1984,15.5946,1.5995,0.0585,0.0838,0.2108,0.0216,0.3748,0.2014,0.2882,0.7252,0.0744,1.2892,4.118,3.3756,386.74,317.02
77,12104,113,13051,774,387,44.5,3.29,0.35,0.59,1.42,2.36,2028.2,1.08,1078.3,0.53,24.3,45.7,0.27,0.35,0.32,0.31,0.55,0.67,0,29.85,0.638,0.843,2.948,0.358,0.0636,0.0673,0.2085,0.0186,0.7967,5.3032,5.6126,17.386,1.5524,0.0636,0.0673,0.2085,0.0186,0.358,0.2188,0.2315,0.7172,0.064,1.2315,4.6749,3.2337,565.86,391.42
78,9360,109,8630,741,418,32.8,2.81,0.14,0.85,0.68,1.67,1848.3,0.92,934.6,0.51,14.5,28.6,0.25,0.26,0.27,0.37,0.29,0.67,0.5,23.54,0.551,0.794,2.4795,0.4319,0.0966,0.0938,0.2128,0.0287,0.9613,5.2656,5.1127,11.5953,1.5631,0.0966,0.0938,0.2128,0.0287,0.4319,0.3324,0.3228,0.732,0.0987,1.4859,3.3144,3.3712,310.23,315.54
79,13653,287,13928,712,372,26.5,3.51,-0.28,0.16,0.1,-0.02,2002.1,1.02,1083.5,0.54,25.1,46.4,0.12,0.16,0.3,0.35,0.26,0.4,0.3,31.81,0.654,0.852,3.1023,0.345,0.0552,0.0625,0.207,0.0203,0.7678,5.0898,5.7602,19.0884,1.874,0.0552,0.0625,0.207,0.0203,0.345,0.1899,0.2149,0.7121,0.0699,1.1868,4.0694,3.4418,555.61,469.92
80,13040,427,13565,834,392,42.2,2.97,3.93,0.7,1.21,5.84,1962,1.04,974.3,0.5,21.8,43.8,0.27,0.32,0.33,0.44,0.63,0.56,0.48,28.28,0.626,0.830,2.8323,0.3706,0.0752,0.0681,0.2091,0.0182,0.8247,5.7382,5.1967,15.9575,1.3873,0.0752,0.0681,0.2091,0.0182,0.3706,0.2587,0.2342,0.7193,0.0625,1.2747,4.1579,3.5624,542.17,464.52
81,10426,220,10689,776,396,39.8,2.98,1.04,0.66,1.23,2.92,1919,1.03,1001.4,0.52,18.5,35.5,0.21,0.29,0.38,0.49,0.49,0.57,0.67,25.69,0.586,0.818,2.6333,0.3982,0.0838,0.0836,0.2111,0.0197,0.8863,5.4079,5.393,13.6145,1.2701,0.0838,0.0836,0.2111,0.0197,0.3982,0.2884,0.2876,0.7261,0.0677,1.37,4.1574,3.369,433.46,351.26
82,9796,63,10187,801,385,86.2,2.65,0.37,0.5,5.85,6.72,1812.5,1.04,867.9,0.48,15.5,32.4,0.76,0.48,0.53,0.32,0.6,0.46,0.67,22.8,0.542,0.783,2.4205,0.4435,0.1104,0.0947,0.2129,0.0255,0.987,5.673,4.8676,10.9431,1.3131,0.1104,0.0947,0.2129,0.0255,0.4435,0.3796,0.3257,0.7323,0.0879,1.5256,4.2865,3.3545,419.9,328.6
83,10951,261,11194,797,414,51,2.17,1.24,1.07,2.14,4.45,1641.3,1.02,713.8,0.43,16.1,37,0.55,0.38,0.31,0.42,0.23,0.22,0.22,23.65,0.559,0.772,2.4839,0.4311,0.115,0.0806,0.2112,0.0243,0.9595,6.3088,4.4227,11.583,1.333,0.115,0.0806,0.2112,0.0243,0.4311,0.3957,0.2774,0.7265,0.0836,1.4832,4.1524,3.3376,454.73,365.5
84,9784,292,9870,810,396,25.7,3.71,1.91,0.78,0.06,2.75,2227.6,1.01,1200.2,0.54,17.8,33.1,0.09,0.14,0.25,0.33,0.51,0.46,0.48,25.25,0.579,0.820,2.6026,0.4032,0.0766,0.0883,0.2117,0.0267,0.8974,4.7944,5.5279,13.2529,1.6709,0.0766,0.0883,0.2117,0.0267,0.4032,0.2634,0.3037,0.7281,0.0918,1.3871,4.0111,3.3874,392.47,331.44
85,9296,108,10104,785,420,19.6,3.75,0.32,1.23,-0.49,1.06,2235.6,1.09,1246.8,0.56,21,37.6,0.15,0.09,0.17,0.16,0.2,0.5,0.26,26.76,0.600,0.835,2.7151,0.3851,0.0681,0.0831,0.211,0.0228,0.857,4.733,5.7748,14.6663,1.5877,0.0681,0.0831,0.211,0.0228,0.3851,0.2343,0.2858,0.726,0.0786,1.3247,4.6918,3.3191,436.15,308.54
86,9079,201,9407,847,416,67.1,2.66,1.88,1.22,3.84,6.94,1897.2,1.04,958.1,0.5,16,31.7,0.53,0.42,0.45,0.48,0.67,0.86,0.57,23.09,0.553,0.800,2.4321,0.431,0.1067,0.0957,0.2134,0.0151,0.9592,5.7176,5.1284,11.4354,0.8085,0.1067,0.0957,0.2134,0.0151,0.431,0.3671,0.3293,0.7343,0.0519,1.4826,4.1664,3.4953,378.25,317.33
87,9859,177,10512,784,408,18.8,3.79,0.48,0.93,-0.56,0.85,2240.3,1.07,1213.2,0.54,20.2,37.2,0.27,0.13,0.16,0.18,0.22,0.33,0.31,26.48,0.595,0.827,2.6991,0.3908,0.0693,0.0825,0.2112,0.0277,0.8696,4.6985,5.5889,14.3156,1.8781,0.0693,0.0825,0.2112,0.0277,0.3908,0.2385,0.2837,0.7267,0.0953,1.3442,4.5929,3.2095,452.81,316.42
88,9856,228,10021,783,390,27.4,3.25,0.98,0.61,0.21,1.8,1995.3,1.02,1025.9,0.51,17.4,33.9,0.19,0.15,0.3,0.28,0.36,0.53,0.24,24.87,0.571,0.806,2.5711,0.4109,0.0858,0.0872,0.2115,0.0264,0.9144,5.1928,5.2799,12.8001,1.5955,0.0858,0.0872,0.2115,0.0264,0.4109,0.2951,0.3001,0.7275,0.0907,1.4133,4.1876,3.2126,412.72,316.63
89,7661,140,8559,845,364,28.6,3.3,1.65,-0.03,0.43,2.05,2029,1.12,1000.6,0.49,15.1,30.7,0.17,0.13,0.31,0.51,0.52,0.67,0.67,21.48,0.513,0.772,2.3135,0.4676,0.1135,0.1083,0.2137,0.0321,1.0407,5.2153,4.9732,9.8175,1.4748,0.1135,0.1083,0.2137,0.0321,0.4676,0.3905,0.3724,0.7352,0.1104,1.6086,4.8373,3.478,370.6,266.47
90,6780,203,6835,823,415,20.7,4.1,1.19,1.75,-0.54,2.4,2426.3,1.01,1314.1,0.54,13.3,24.5,0.19,0.11,0.12,0.18,0.15,0.24,0.4,21.32,0.502,0.782,2.3017,0.4782,0.0955,0.1219,0.2173,0.0435,1.0642,4.2578,5.4326,9.6901,1.9387,0.0955,0.1219,0.2173,0.0435,0.4782,0.3285,0.4192,0.7477,0.1496,1.645,4.0039,3.3901,271.48,229.86
91,10438,108,11201,787,447,36,3.1,0.4,1.73,0.83,2.97,1993.5,1.07,1040,0.52,22.6,43.4,0.32,0.2,0.25,0.49,0.32,0.29,0.46,28.55,0.624,0.833,2.8458,0.3689,0.07,0.0702,0.2095,0.0191,0.821,5.4168,5.4363,16.2175,1.4813,0.07,0.0702,0.2095,0.0191,0.3689,0.2407,0.2416,0.7208,0.0658,1.269,4.5965,3.291,479.79,343.52
92,9013,228,9141,893,392,16.9,3.5,3.18,0.94,-0.71,3.41,2207.6,1.01,1079.1,0.49,17.1,34.9,0.12,0.13,0.06,0.34,0.12,0.31,0.33,24.23,0.572,0.800,2.5301,0.411,0.0877,0.0835,0.2092,0.0305,0.9147,5.1727,4.9223,12.3358,1.7989,0.0877,0.0835,0.2092,0.0305,0.411,0.3018,0.2872,0.7198,0.105,1.4139,4.0519,3.394,365.2,305.9
93,11396,354,11759,740,386,31.3,2.48,0.27,0.6,0.48,1.35,1679.3,1.03,826.1,0.49,19.2,39,0.38,0.13,0.16,0.21,0.34,0.23,0.16,26.2,0.593,0.811,2.6744,0.394,0.0899,0.077,0.2096,0.0175,0.8769,5.9761,5.1191,13.9349,1.1652,0.0899,0.077,0.2096,0.0175,0.394,0.3092,0.2649,0.7211,0.0603,1.3555,4.216,3.3619,480.45,383.12
94,7487,240,8253,904,427,25.7,4.22,3.68,1.34,0.08,5.1,2513,1.1,1323.1,0.53,17.9,34,0.11,0.16,0.29,0.22,0.35,0.32,0.4,23.83,0.559,0.806,2.4934,0.4198,0.0807,0.0934,0.212,0.0337,0.9343,4.5811,5.2998,12.0376,1.9144,0.0807,0.0934,0.212,0.0337,0.4198,0.2776,0.3211,0.7294,0.116,1.4442,4.774,3.3863,357.44,253.53
95,7170,141,7455,933,396,20.6,4.39,1.2,1.06,-0.51,1.75,2593.6,1.04,1363.5,0.53,14.9,28.2,0.13,0.04,0.14,0.27,0.15,0.24,0.14,22.04,0.528,0.792,2.3588,0.4518,0.0913,0.1078,0.2143,0.0385,1.0055,4.4544,5.2551,10.4488,1.8767,0.0913,0.1078,0.2143,0.0385,0.4518,0.3142,0.3707,0.737,0.1324,1.5543,4.3421,3.2645,311.34,234.07
96,7303,330,7493,828,390,33.2,4.21,5.6,0.78,0.9,7.28,2432.5,1.03,1317.9,0.54,15.6,28.7,0.13,0.29,0.2,0.26,0.4,0.65,0.56,22.97,0.537,0.799,2.4279,0.4377,0.0831,0.1042,0.2132,0.0373,0.9742,4.3603,5.4663,11.186,1.9556,0.0831,0.1042,0.2132,0.0373,0.4377,0.2859,0.3584,0.7334,0.1282,1.5058,4.1993,3.3132,306.66,241.95
97,9679,337,9964,767,383,28.9,2.91,1.25,0.5,0.37,2.12,1871,1.03,952.2,0.51,16.3,32,0.19,0.21,0.32,0.29,0.49,0.37,0.25,23.65,0.552,0.797,2.4823,0.4297,0.0975,0.0946,0.2128,0.0247,0.9563,5.3691,5.2071,11.7167,1.361,0.0975,0.0946,0.2128,0.0247,0.4297,0.3355,0.3254,0.7322,0.085,1.4782,4.2026,3.3525,406.76,324.49
98,12418,253,12408,746,382,26.8,3.09,0.3,0.33,0.13,0.76,1895,1,1007.2,0.53,20.9,39.4,0.14,0.14,0.25,0.56,0.73,0.67,#N/A,28.49,0.618,0.833,2.8369,0.3706,0.0711,0.0729,0.2093,0.0173,0.8248,5.4649,5.6045,16.0926,1.3272,0.0711,0.0729,0.2093,0.0173,0.3706,0.2445,0.2508,0.7201,0.0594,1.2748,3.9051,3.4323,484.93,426.22
99,10674,423,11648,673,369,22.4,3.3,-2.2,0.1,-0.22,-2.32,1885.6,1.09,1027.3,0.54,22.4,41.1,0.11,0.23,0.22,0.32,0.34,0.43,0.56,28.09,0.607,0.830,2.8165,0.3757,0.0673,0.0766,0.2087,0.0231,0.836,5.0324,5.7272,15.609,1.7263,0.0673,0.0766,0.2087,0.0231,0.3757,0.2315,0.2634,0.718,0.0794,1.2923,4.6642,3.4188,497.86,364.92
100,8467,252,8987,905,410,30.7,3.16,3.73,1.35,0.57,5.64,2132.3,1.06,1070.2,0.5,16,31.9,0.11,0.26,0.31,0.33,0.38,0.4,0.67,22.77,0.545,0.793,2.4058,0.4368,0.1027,0.0974,0.2132,0.0236,0.972,5.3514,5.0748,11.1135,1.2281,0.1027,0.0974,0.2132,0.0236,0.4368,0.3532,0.3349,0.7334,0.081,1.5025,4.3924,3.4647,371.88,293.34
101,9697,170,9703,751,379,36.1,4.39,0.15,0.42,1.03,1.6,2363.1,1,1299.1,0.55,18,32.7,0.09,0.1,0.4,0.25,0.46,0.37,0.29,25.72,0.578,0.818,2.6419,0.402,0.0667,0.0885,0.2113,0.0355,0.8947,4.2693,5.6647,13.5147,2.2713,0.0667,0.0885,0.2113,0.0355,0.402,0.2296,0.3046,0.7267,0.1221,1.383,4.0915,3.1564,396.74,306.07
102,5886,69,5828,856,388,28.8,3.73,0.85,0.85,0.59,2.28,2293.6,0.99,1239.1,0.54,9.8,18.1,0.3,0.07,0,0.18,0.46,0.22,0.4,18.33,0.433,0.758,2.0742,0.5751,0.1392,0.1689,0.2249,0.0421,1.2798,4.4375,5.3837,7.17,1.3408,0.1392,0.1689,0.2249,0.0421,0.5751,0.4789,0.581,0.7737,0.1447,1.9782,3.9796,3.1977,234.26,188.23
103,10448,465,10743,829,377,25.7,3.47,3.09,0.38,0.07,3.53,2122.7,1.03,1098.3,0.52,17.5,33.8,0.24,0.16,0.19,0.21,0.33,0.55,0.42,24.7,0.571,0.810,2.5595,0.4115,0.085,0.0888,0.2116,0.0261,0.9158,5.0993,5.3266,12.7006,1.5687,0.085,0.0888,0.2116,0.0261,0.4115,0.2923,0.3053,0.728,0.0899,1.4155,4.1366,3.4409,432.18,359.5
104,13106,469,13419,718,394,30.9,3.29,-0.43,0.56,0.4,0.53,1984.8,1.02,1109.5,0.56,24.7,44.2,0.15,0.19,0.22,0.37,0.53,0.71,0.67,31.47,0.651,0.856,3.0676,0.3478,0.0571,0.066,0.2088,0.0159,0.774,5.1708,5.9687,18.8926,1.4392,0.0571,0.066,0.2088,0.0159,0.3478,0.1966,0.2269,0.7182,0.0547,1.1964,4.1602,3.3473,545.22,438.68
105,10269,220,10492,817,404,29,3.79,1.35,0.95,0.33,2.62,2264.6,1.02,1234.8,0.55,20,36.7,0.14,0.14,0.2,0.39,0.45,0.6,0.89,26.93,0.604,0.833,2.7281,0.3813,0.0685,0.0798,0.2099,0.0232,0.8486,4.8343,5.6356,14.8204,1.6352,0.0685,0.0798,0.2099,0.0232,0.3813,0.2355,0.2745,0.722,0.0797,1.3116,4.0047,3.5647,411.26,366.07
106,8886,154,9109,969,414,32.4,3.59,2.58,1.33,0.76,4.68,2391.3,1.03,1232.1,0.52,15,29.1,0.11,0.14,0.34,0.35,0.44,0.67,1,22.33,0.540,0.799,2.3778,0.4455,0.0999,0.1034,0.2158,0.0263,0.9914,5.0104,5.1862,10.818,1.3178,0.0999,0.1034,0.2158,0.0263,0.4455,0.3438,0.3559,0.7423,0.0904,1.5324,4.2064,3.29,373.76,292.34
107,11306,164,12302,792,397,31.5,2.17,1.15,0.49,0.49,2.12,1607.9,1.09,689.3,0.43,19.8,46.2,0.22,0.31,0.47,0.6,0.4,#N/A,#N/A,25.78,0.594,0.788,2.6455,0.3975,0.1011,0.0681,0.2074,0.0209,0.8847,6.5559,4.4154,13.4547,1.3573,0.1011,0.0681,0.2074,0.0209,0.3975,0.3477,0.2342,0.7136,0.072,1.3675,4.6794,3.3533,529.06,379.13
108,10417,389,11241,838,373,41.2,2.9,3.14,0.19,1.48,4.81,1904.4,1.08,906,0.48,17.6,37,0.32,0.32,0.2,0.34,0.39,0.43,0.43,24,0.565,0.793,2.5104,0.4213,0.0997,0.0853,0.2112,0.025,0.9375,5.6831,4.863,12.0354,1.4222,0.0997,0.0853,0.2112,0.025,0.4213,0.3431,0.2936,0.7266,0.0859,1.4492,4.6682,3.2549,486.3,339.07
109,12348,400,12781,758,388,30.1,3.71,0.67,0.49,0.36,1.52,2158.2,1.04,1191.6,0.55,24.3,43.9,0.18,0.2,0.2,0.31,0.22,0.4,0.46,30.65,0.645,0.852,3.0116,0.3516,0.0565,0.0668,0.2083,0.0199,0.7825,4.9248,5.8247,18.1582,1.7388,0.0565,0.0668,0.2083,0.0199,0.3516,0.1944,0.2299,0.7167,0.0686,1.2095,4.2976,3.275,530.65,404.38
110,9801,281,10284,949,418,26.5,3.04,3.91,1.17,0.14,5.21,2168.2,1.05,1043.2,0.48,16.9,35.1,0.14,0.16,0.35,0.35,0.4,0.22,0.55,23.74,0.565,0.795,2.4812,0.4216,0.0983,0.0867,0.2123,0.0244,0.9384,5.5348,4.8809,11.9574,1.3717,0.0983,0.0867,0.2123,0.0244,0.4216,0.3381,0.2982,0.7304,0.0838,1.4505,4.3881,3.3134,430.09,324.76
111,10725,356,11444,733,408,29.1,3.54,0.09,0.65,0.33,1.06,2094.6,1.07,1166.2,0.56,22.6,40.7,0.15,0.24,0.19,0.39,0.58,0.67,0.33,28.66,0.621,0.842,2.86,0.3688,0.0626,0.075,0.2099,0.0213,0.8208,4.8629,5.8307,16.3087,1.6531,0.0626,0.075,0.2099,0.0213,0.3688,0.2153,0.2582,0.7221,0.0732,1.2688,4.5124,3.3466,483.95,358.93
112,12155,197,12043,757,376,39,3.34,0.4,0.25,0.99,1.64,2002.1,0.99,1053.7,0.53,21.2,40.3,0.23,0.21,0.35,0.36,0.5,0.43,0.5,28.73,0.624,0.834,2.8658,0.366,0.0666,0.0702,0.2077,0.0215,0.8146,5.2254,5.5097,16.3074,1.6905,0.0666,0.0702,0.2077,0.0215,0.366,0.229,0.2414,0.7146,0.0741,1.2591,3.7968,3.4949,461.51,424.81
113,7433,85,7676,760,450,31.6,3.44,0.09,2.09,0.65,2.83,2044.9,1.03,1091.9,0.53,16.7,31.3,0.29,0.18,0.18,0.29,0.67,0.57,0.29,23.9,0.555,0.805,2.4986,0.4223,0.0865,0.0954,0.2124,0.0281,0.9399,4.8937,5.3987,12.0153,1.5877,0.0865,0.0954,0.2124,0.0281,0.4223,0.2975,0.3282,0.7305,0.0965,1.4528,4.1335,3.5031,307.24,260.39
114,8185,248,9329,801,374,26,3.37,1.41,0.19,0.11,1.71,2031.7,1.14,1029.9,0.51,18.1,35.6,0.12,0.19,0.37,0.35,0.2,0.33,0.46,23.58,0.551,0.794,2.4763,0.4274,0.0927,0.0936,0.211,0.03,0.9511,5.1156,5.1666,11.6447,1.6559,0.0927,0.0936,0.211,0.03,0.4274,0.3189,0.3221,0.7259,0.1032,1.4702,5.0889,3.3725,416.54,276.05
115,10141,32,10485,690,374,25.7,3.67,-0.08,0.17,0.06,0.15,2044.1,1.03,1167.7,0.57,20.9,36.5,0.09,0.46,0.18,0,0.5,0.29,#N/A,27.66,0.604,0.838,2.7816,0.3771,0.0643,0.0814,0.2096,0.0217,0.8393,4.7173,5.9725,15.3716,1.5948,0.0643,0.0814,0.2096,0.0217,0.3771,0.2213,0.2802,0.7211,0.0748,1.2974,4.2579,3.3212,431.82,336.82
116,7590,58,7436,860,511,23.9,6.33,0.22,3.34,-0.11,3.46,3290.6,0.98,2046.1,0.62,18.6,30,0,0,0.15,0,0.13,0.25,0.42,26.52,0.594,0.853,2.6948,0.3875,0.0505,0.0934,0.214,0.0296,0.8625,3.4587,6.3916,14.6471,2.025,0.0505,0.0934,0.214,0.0296,0.3875,0.1739,0.3213,0.7362,0.1018,1.3332,3.8897,3.2054,295.22,243.28
117,10466,274,10761,791,383,35.1,3.05,1.48,0.36,0.85,2.69,1939.4,1.03,981.2,0.51,18.3,36.2,0.19,0.25,0.37,0.4,0.49,0.45,0.67,25.5,0.580,0.807,2.6139,0.4018,0.0856,0.0824,0.2104,0.0234,0.8943,5.4354,5.2286,13.356,1.4841,0.0856,0.0824,0.2104,0.0234,0.4018,0.2946,0.2834,0.7239,0.0804,1.3823,4.2253,3.3006,442.21,345.43
118,10881,395,10938,742,364,46.4,2.74,0.47,-0.01,1.79,2.25,1724.8,1.01,832.4,0.48,17,35.1,0.32,0.3,0.36,0.57,0.57,0.4,1,24.63,0.568,0.794,2.5607,0.4153,0.0966,0.0838,0.2101,0.0249,0.9244,5.7265,4.9703,12.4587,1.4766,0.0966,0.0838,0.2101,0.0249,0.4153,0.3322,0.2883,0.7227,0.0857,1.4288,3.9949,3.3677,434.7,366.46
119,9546,222,9897,803,394,32,3.08,1.53,0.75,0.64,2.92,1991.1,1.04,1004.9,0.5,17.3,34.3,0.2,0.26,0.19,0.48,0.57,0.4,0.59,24.44,0.565,0.799,2.5359,0.4158,0.0901,0.0878,0.2114,0.0265,0.9255,5.2948,5.1625,12.4223,1.5598,0.0901,0.0878,0.2114,0.0265,0.4158,0.3099,0.3022,0.7271,0.0913,1.4305,4.2512,3.3696,405.82,321.66
120,7508,57,8040,861,389,13.9,4,0.6,0.46,-1.23,-0.17,2371.3,1.07,1285.3,0.54,16.3,30,0.15,0,0,0,0.67,1,0,23,0.538,0.801,2.4197,0.4355,0.0879,0.1044,0.2133,0.0299,0.9691,4.642,5.5142,11.266,1.5813,0.0879,0.1044,0.2133,0.0299,0.4355,0.3023,0.3591,0.7337,0.103,1.498,4.4267,3.5306,332.35,265.07
121,9985,61,10197,788,431,25,3.6,0.26,0.95,0,1.21,2219.2,1.02,1209.9,0.55,21.2,38.9,0.2,0.16,0.13,0.2,0,0.67,0.4,28.03,0.619,0.839,2.8156,0.3712,0.064,0.0748,0.2092,0.0232,0.826,4.8337,5.6461,15.7988,1.7498,0.064,0.0748,0.2092,0.0232,0.3712,0.2202,0.2572,0.7197,0.0797,1.2768,4.1785,3.2848,417.21,327.98
122,9271,325,9593,782,395,29.8,3.77,1.23,0.82,0.44,2.48,2213.4,1.03,1228.8,0.56,18.8,33.9,0.12,0.29,0.2,0.28,0.41,0.22,0.44,25.74,0.584,0.827,2.6371,0.3963,0.0727,0.0881,0.2113,0.0243,0.8819,4.7193,5.7213,13.7238,1.5767,0.0727,0.0881,0.2113,0.0243,0.3963,0.2499,0.303,0.7268,0.0835,1.3632,4.2469,3.3493,393.73,310.52
123,7474,459,7481,778,440,25.8,3.42,1.83,1.75,0.08,3.66,2056,1,1055.4,0.51,14.1,27.5,0.21,0.21,0.17,0.2,0.21,0.19,0.26,22.07,0.522,0.781,2.3647,0.4595,0.1008,0.1072,0.2146,0.037,1.0226,4.8382,5.1459,10.3047,1.7764,0.1008,0.1072,0.2146,0.037,0.4595,0.3466,0.3686,0.7382,0.1273,1.5807,3.8268,3.5787,286.03,267.48
124,9288,288,9573,801,408,21,4.21,1.13,1.08,-0.37,1.84,2436.8,1.03,1349.7,0.55,19,34.3,0.11,0.02,0.17,0.29,0.37,0.4,0.2,26.06,0.587,0.825,2.6628,0.3949,0.0664,0.0863,0.2115,0.0307,0.8788,4.3825,5.6932,13.9592,2.027,0.0664,0.0863,0.2115,0.0307,0.3949,0.2284,0.2967,0.7276,0.1056,1.3584,4.2916,3.2265,398.61,299.68
125,9768,426,9638,866,419,45,2.41,5.72,1.54,1.7,8.96,1829.7,0.99,815.1,0.45,14.8,33.2,0.27,0.44,0.36,0.52,0.49,0.67,#N/A,22.67,0.550,0.775,2.4137,0.4402,0.1159,0.0866,0.2115,0.0261,0.9796,5.9689,4.4627,10.8937,1.3466,0.1159,0.0866,0.2115,0.0261,0.4402,0.3986,0.2981,0.7276,0.0899,1.5142,3.9138,3.2568,382.31,318.14
