farmID,annualMY,herdSize,annualMYFPCM,AAFC,CI,culling,avLactOnLeaving,costAAFC,costCI,costCull,totalCost,totalLifeDays,FPcorrfactor,milkLifeDays,OEEEffic,lifetimeYieldKgDay,productiveLifetimeYieldKgDay,Cull_L1,Cull_L2,Cull_L3,Cull_L4,Cull_L5,Cull_L6,Cull_L6over,CH4MJdLife,propCH4Milk,propCH4ForLactatingPeriods,eCO2 TyearGWP100,Repeat01,Repeat02,Repeat03,Repeat04,Repeat05,CH4_kgFPCM,CH4ForHeifer,CH4Maint,CH4Milk,CH4Preg+Dry,eCO2GWP100Heifer,eCO2GWP100Maint,eCO2GWP100Milk,eCO2GWP100Preg,eCO2GWP100Total,eCO2GWP*HeiferRearing,eCO2GWP*Maint,eCO2GWP*Milk,eCO2GWP*PregDry,eCO2GWP*Total,BFAnnualAvg,milkProteinAnnualAvg,milkButterFatKgYear,milkProteinKgYear
24,8281,141,8613,828,410,25.9,3.56,0.78,1,0.09,1.86,2172.1,1.04,1130,0.52,16.5,31.8,0.28,0.07,0.2,0.16,0.21,0.22,0.43,23.59,0.554,0.802,2.4779,0.4265,0.0888,0.0952,0.2126,0.0299,0.9492,4.9121,5.2648,11.7589,1.6532,0.0888,0.0952,0.2126,0.0299,0.4265,0.3055,0.3275,0.7314,0.1028,1.4671,4.3523,3.2523,360.42,269.33
25,8595,356,8420,807,411,240.9,2.78,2.5,0.82,21.09,24.41,1832.3,0.98,861.4,0.47,13.5,28.8,0.94,0.79,0.81,0.82,0.93,0.81,0.73,21.74,0.523,0.768,2.3422,0.464,0.1187,0.1003,0.2138,0.0312,1.0326,5.5617,4.6989,10.0178,1.4613,0.1187,0.1003,0.2138,0.0312,0.464,0.4084,0.345,0.7355,0.1073,1.5962,3.8755,3.2286,333.08,277.48
26,9440,301,10384,800,371,42.9,2.23,1.7,0.12,1.69,3.51,1595.3,1.1,653.4,0.41,15.7,38.3,0.46,0.21,0.25,0.27,0.27,0.59,0.55,22.17,0.532,0.747,2.3757,0.4559,0.1312,0.0851,0.2095,0.03,1.0146,6.381,4.1414,10.1911,1.461,0.1312,0.0851,0.2095,0.03,0.4559,0.4513,0.2929,0.7207,0.1033,1.5682,4.8884,3.1779,461.45,299.99
27,9218,402,9615,741,393,37.2,3.26,0.43,0.68,1.14,2.25,1968.8,1.04,1079.5,0.55,17.9,32.7,0.17,0.22,0.26,0.44,0.54,0.86,0.55,24.94,0.567,0.816,2.57,0.4095,0.083,0.0931,0.2123,0.0212,0.9114,5.0535,5.6697,12.9271,1.29,0.083,0.0931,0.2123,0.0212,0.4095,0.2855,0.3203,0.7302,0.0729,1.4088,4.2109,3.5143,388.15,323.94
28,10418,142,11426,776,392,52,2.92,0.29,0.63,2.38,3.3,1865.3,1.1,933.4,0.5,19.6,39.3,0.75,0.14,0.32,0.34,0.48,0.29,0.36,25.56,0.585,0.810,2.6275,0.4014,0.0871,0.0813,0.2104,0.0226,0.8932,5.5473,5.174,13.3979,1.4371,0.0871,0.0813,0.2104,0.0226,0.4014,0.2997,0.2795,0.7238,0.0776,1.3807,4.6695,3.4802,486.49,362.59
29,11283,129,11650,767,408,30.6,3.03,0.33,1.04,0.47,1.84,1954.1,1.03,1006.3,0.51,19.3,37.4,0.35,0.35,0.15,0.09,0.32,0.1,0.33,26.5,0.592,0.815,2.691,0.3944,0.0791,0.08,0.2113,0.0239,0.8776,5.3134,5.3768,14.2003,1.6085,0.0791,0.08,0.2113,0.0239,0.3944,0.272,0.2753,0.727,0.0823,1.3566,4.2306,3.3475,477.33,377.69
30,13070,315,13987,708,400,31.9,3.27,-0.49,0.65,0.47,0.63,1993.9,1.07,1119.2,0.56,26.4,47.1,0.11,0.21,0.28,0.53,0.55,0.57,0.5,32.06,0.656,0.858,3.1138,0.3448,0.0549,0.0646,0.2088,0.0164,0.7673,5.1078,6.0105,19.4131,1.5272,0.0549,0.0646,0.2088,0.0164,0.3448,0.189,0.2224,0.7182,0.0565,1.1861,4.4005,3.5637,575.13,465.76
31,8222,148,8810,813,378,29.3,3.64,1.15,0.35,0.45,1.95,2155.5,1.07,1136.1,0.53,17,32.3,0.09,0.32,0.19,0.26,0.46,0.48,0.22,23.58,0.552,0.803,2.4752,0.4256,0.0882,0.0967,0.2119,0.0289,0.9473,4.8845,5.3551,11.741,1.5992,0.0882,0.0967,0.2119,0.0289,0.4256,0.3033,0.3325,0.7291,0.0993,1.4642,4.4969,3.4286,369.73,281.9
32,10392,120,10507,736,383,18.8,3,0.07,0.38,-0.51,-0.06,1841.5,1.01,945.9,0.51,18.6,36.3,0.18,0.08,0.2,0.29,0.29,0.46,#N/A,26.15,0.585,0.809,2.6604,0.395,0.0823,0.0808,0.2092,0.0227,0.8791,5.4442,5.3513,13.8493,1.5013,0.0823,0.0808,0.2092,0.0227,0.395,0.2829,0.2781,0.7198,0.078,1.3589,4.0231,3.3987,418.1,353.21
33,12488,178,12834,760,377,40.7,2.81,0.48,0.23,1.13,1.83,1789.4,1.03,918.1,0.51,20.8,40.6,0.14,0.36,0.35,0.44,0.57,0.29,0.67,27.76,0.614,0.829,2.7888,0.3763,0.0789,0.0731,0.2094,0.0149,0.8374,5.8188,5.3913,15.4486,1.0978,0.0789,0.0731,0.2094,0.0149,0.3763,0.2713,0.2514,0.7204,0.0512,1.2944,4.1419,3.4258,517.23,427.81
